Size,op1,op2,op3,op4,op5,op6,op7
1536,0.00012797117233276367,0.00011301040649414062,0.00011199712753295898,0.00022065639495849609,0.00020992755889892578,0.00021946430206298828,6.0200691223144531e-06
24576,0.00012069940567016602,0.00012177228927612305,0.00011897087097167969,0.0042418241500854492,0.0036734938621520996,0.0036557912826538086,6.67572021484375e-06
75264,0.00013369321823120117,0.00013113021850585938,0.00013756752014160156,0.0065448284149169922,0.0049309730529785156,0.0049259662628173828,6.4969062805175781e-06
153600,0.00022727251052856445,0.00018823146820068359,0.00018590688705444336,0.020097255706787109,0.020074784755706787,0.020075798034667969,1.0788440704345703e-05
